0.273951	5.08153	0.344646	
0.253818	2.20504	0.16767	
0.340154	2.38949	0.186738	
0.215234	3.55129	0.417055	
0.247182	3.78614	0.202554	
0.16277	4.66747	0.276297	
0.289349	3.04445	0.314957	
0.20735	4.44773	0.273521	
0.220766	2.96174	0.370412	
0.250131	2.72052	0.18871	
0.400128	2.89241	0.220874	
0.190437	1.56819	0.25192	
0.302089	4.43371	0.382629	
0.0526324	3.44103	0.178227	
0.20797	2.07026	0.277406	
0.408519	4.68608	0.245833	
0.34521	3.94581	0.18101	
0.241803	2.70391	0.0604265	
0.113903	4.07745	0.148637	
0.366776	3.778	0.263871	
0.193901	4.69118	0.376052	
0.347415	2.691	0.143799	
0.278716	4.45106	0.328345	
0.251822	3.1521	0.160206	
0.391485	3.06474	0.188639	
0.159552	2.30532	0.21284	
0.258778	2.72535	0.294716	
0.261817	2.66068	0.306175	
0.251684	4.97928	0.189822	
0.154211	3.32782	0.292596	
